Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;3888.00; 0.525258;6.991442;5.014079;1.977363;13.249207;9.501984;0.936806;0.0000;
;3909.60; 0.525201;6.980878;5.001713;1.979165;13.216084;9.469161;0.936731;0.0000;
;3931.20; 0.525353;6.964349;4.984878;1.979470;13.208264;9.454092;0.938543;0.0000;
;3952.80; 0.525689;6.949703;4.967892;1.981811;13.166319;9.411748;0.938643;0.0000;
;3974.40; 0.525660;6.943666;4.959418;1.984248;13.155719;9.396292;0.939857;0.0000;
;3996.00; 0.525692;6.919252;4.938990;1.980262;13.116020;9.362268;0.938438;0.0000;
;4017.60; 0.525331;6.903190;4.922056;1.981134;13.077277;9.324252;0.938256;0.0000;
;4039.20; 0.525341;6.885659;4.905011;1.980648;13.024102;9.277742;0.936590;0.0000;
;4060.80; 0.524544;6.877860;4.898821;1.979038;13.046079;9.292195;0.938471;0.0000;
;4082.40; 0.525435;6.869999;4.889373;1.980626;13.013117;9.261425;0.937923;0.0000;
;4104.00; 0.524879;6.845362;4.865202;1.980159;12.966838;9.215918;0.937730;0.0000;
;4125.60; 0.525034;6.833336;4.853177;1.980158;12.943985;9.193088;0.937724;0.0000;
;4147.20; 0.524647;6.805153;4.827369;1.977784;12.871654;9.130761;0.935223;0.0000;
;4168.80; 0.525113;6.788801;4.809077;1.979724;12.819881;9.081397;0.934621;0.0000;
;4190.40; 0.525579;6.774746;4.795977;1.978769;12.721400;9.005731;0.928917;0.0000;
;4212.00; 0.524779;6.775642;4.796082;1.979560;12.760730;9.032577;0.932038;0.0000;
;4233.60; 0.523938;6.811604;4.831619;1.979984;12.840075;9.107745;0.933082;0.0000;
;4255.20; 0.523971;6.840820;4.862027;1.978794;12.884332;9.157377;0.931739;0.0000;
;4276.80; 0.524215;6.860868;4.881200;1.979668;12.965965;9.224702;0.935316;0.0000;
;4298.40; 0.524417;6.866479;4.888595;1.977883;12.956574;9.224444;0.933033;0.0000;
;4320.00; 0.523963;6.857675;4.879774;1.977902;12.932710;9.202637;0.932518;0.0000;
;4341.60; 0.523812;6.844423;4.868093;1.976330;12.940381;9.203841;0.934135;0.0000;
;4363.20; 0.524213;6.831359;4.853485;1.977874;12.839212;9.121892;0.929330;0.0000;
;4384.80; 0.523788;6.808669;4.832335;1.976334;12.836866;9.110744;0.931531;0.0000;
;4406.40; 0.523654;6.780841;4.807899;1.972942;12.798477;9.074654;0.930956;0.0000;
;4428.00; 0.524014;6.759760;4.788818;1.970942;12.739917;9.025342;0.928644;0.0000;
;4449.60; 0.523469;6.741919;4.770964;1.970955;12.718343;9.000221;0.929530;0.0000;
;4471.20; 0.523432;6.735424;4.763892;1.971532;12.692232;8.977078;0.928788;0.0000;
;4492.80; 0.523340;6.735563;4.764577;1.970985;12.699125;8.983060;0.929016;0.0000;
;4514.40; 0.523746;6.727248;4.753814;1.973434;12.659882;8.946113;0.928442;0.0000;
;4536.00; 0.523572;6.704628;4.733547;1.971081;12.617471;8.908084;0.927347;0.0000;
;4557.60; 0.523487;6.681630;4.711322;1.970307;12.556128;8.853524;0.925651;0.0000;
;4579.20; 0.523768;6.669094;4.697464;1.971629;12.518618;8.817654;0.925241;0.0000;
;4600.80; 0.523691;6.645093;4.675881;1.969212;12.494952;8.792189;0.925691;0.0000;
;4622.40; 0.523504;6.623158;4.656560;1.966598;12.492135;8.782876;0.927315;0.0000;
;4644.00; 0.523079;6.599944;4.634887;1.965056;12.438890;8.735355;0.925884;0.0000;
;4665.60; 0.522519;6.617067;4.649338;1.967729;12.460669;8.755217;0.926363;0.0000;
;4687.20; 0.522470;6.639067;4.673070;1.965997;12.514065;8.808332;0.926433;0.0000;
;4708.80; 0.521429;6.681681;4.713119;1.968562;12.585811;8.877769;0.927010;0.0000;
;4730.40; 0.521487;6.754472;4.785756;1.968716;12.748000;9.032360;0.928910;0.0000;
;4752.00; 0.521262;6.844576;4.875425;1.969150;12.925257;9.206725;0.929633;0.0000;
;4773.60; 0.521647;6.894749;4.924911;1.969838;12.974458;9.267640;0.926705;0.0000;
;4795.20; 0.521529;6.974404;5.002577;1.971827;13.148697;9.431252;0.929361;0.0000;
;4816.80; 0.521237;7.068723;5.095987;1.972737;13.378206;9.644621;0.933396;0.0000;
;4838.40; 0.521075;7.162763;5.190825;1.971938;13.522497;9.799699;0.930700;0.0000;
;4860.00; 0.520503;7.263742;5.291934;1.971808;13.743570;10.012754;0.932704;0.0000;
;4881.60; 0.520860;7.327022;5.356512;1.970510;13.875119;10.143581;0.932884;0.0000;
;4903.20; 0.521008;7.380625;5.410513;1.970112;13.949121;10.225679;0.930861;0.0000;
;4924.80; 0.520749;7.423617;5.454664;1.968952;14.011811;10.295484;0.929082;0.0000;
;4946.40; 0.520853;7.472479;5.501111;1.971368;14.100015;10.380190;0.929956;0.0000;
;4968.00; 0.521241;7.515086;5.543318;1.971769;14.182559;10.461414;0.930286;0.0000;
;4989.60; 0.521434;7.540552;5.568296;1.972255;14.211421;10.494379;0.929261;0.0000;
;5011.20; 0.521643;7.543868;5.573226;1.970642;14.237292;10.518165;0.929782;0.0000;
;5032.80; 0.521674;7.543956;5.574438;1.969518;14.223546;10.510172;0.928344;0.0000;
;5054.40; 0.521550;7.540577;5.570653;1.969924;14.216340;10.502419;0.928480;0.0000;
;5076.00; 0.521625;7.535258;5.564637;1.970621;14.197819;10.484805;0.928253;0.0000;
;5097.60; 0.521607;7.516736;5.546470;1.970267;14.153460;10.443593;0.927467;0.0000;
;5119.20; 0.521236;7.504943;5.533515;1.971428;14.151417;10.434067;0.929337;0.0000;
;5140.80; 0.521109;7.506827;5.535116;1.971711;14.143511;10.428637;0.928718;0.0000;
;5162.40; 0.521206;7.523614;5.550587;1.973027;14.178615;10.460349;0.929566;0.0000;
;5184.00; 0.521571;7.523127;5.549832;1.973295;14.154397;10.441740;0.928164;0.0000;
;5205.60; 0.521749;7.509369;5.537025;1.972343;14.131101;10.419553;0.927887;0.0000;
;5227.20; 0.522005;7.489245;5.516818;1.972426;14.129479;10.408229;0.930313;0.0000;
;5248.80; 0.522263;7.469149;5.497404;1.971745;14.085039;10.366797;0.929561;0.0000;
;5270.40; 0.522643;7.451486;5.479714;1.971772;14.066122;10.344021;0.930525;0.0000;
;5292.00; 0.522600;7.439169;5.466889;1.972280;14.077840;10.345508;0.933083;0.0000;
