Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;1922.40; 0.522366;2.971498;0.948496;2.023002;5.626821;1.796069;0.766150;0.0000;
;1944.00; 0.523165;2.984697;0.959996;2.024701;5.662328;1.821228;0.768220;0.0000;
;1965.60; 0.523728;2.976109;0.952431;2.023677;5.611166;1.795718;0.763090;0.0000;
;1987.20; 0.522793;2.965987;0.943108;2.022879;5.644932;1.794944;0.769998;0.0000;
;2008.80; 0.521627;2.962888;0.942385;2.020503;5.647526;1.796268;0.770252;0.0000;
;2030.40; 0.520767;2.954282;0.935416;2.018866;5.629220;1.782383;0.769367;0.0000;
;2052.00; 0.521090;2.945488;0.927142;2.018345;5.617879;1.768323;0.769911;0.0000;
;2073.60; 0.522445;2.940594;0.919712;2.020883;5.603160;1.752466;0.770139;0.0000;
;2095.20; 0.522413;2.936958;0.915234;2.021724;5.574240;1.737081;0.767432;0.0000;
;2116.80; 0.522021;2.924785;0.905689;2.019096;5.561663;1.722225;0.767888;0.0000;
;2138.40; 0.522189;2.918406;0.898403;2.020003;5.538139;1.704863;0.766655;0.0000;
;2160.00; 0.521019;2.931669;0.913092;2.018577;5.608087;1.746684;0.772280;0.0000;
;2181.60; 0.520265;2.947880;0.923934;2.023946;5.627310;1.763730;0.772716;0.0000;
;2203.20; 0.519791;2.948266;0.930935;2.017330;5.642535;1.781669;0.772173;0.0000;
;2224.80; 0.520421;2.962488;0.935188;2.027300;5.657703;1.786004;0.774340;0.0000;
;2246.40; 0.521011;2.951989;0.929536;2.022452;5.639491;1.775790;0.772740;0.0000;
;2268.00; 0.520206;2.945902;0.923838;2.022064;5.616412;1.761313;0.771020;0.0000;
;2289.60; 0.520467;2.937092;0.916253;2.020839;5.622656;1.754040;0.773723;0.0000;
;2311.20; 0.520531;2.931601;0.909889;2.021712;5.600162;1.738137;0.772405;0.0000;
;2332.80; 0.520060;2.926395;0.902977;2.023418;5.594337;1.726205;0.773626;0.0000;
;2354.40; 0.518865;2.925899;0.902729;2.023170;5.619916;1.733915;0.777200;0.0000;
;2376.00; 0.519703;2.915560;0.895888;2.019672;5.590242;1.717759;0.774497;0.0000;
;2397.60; 0.519222;2.911069;0.890390;2.020679;5.585767;1.708483;0.775457;0.0000;
;2419.20; 0.520936;2.908679;0.885540;2.023139;5.552370;1.690405;0.772393;0.0000;
;2440.80; 0.520349;2.893823;0.877316;2.016507;5.525346;1.675111;0.770047;0.0000;
;2462.40; 0.520599;2.887151;0.870997;2.016154;5.514101;1.663496;0.770121;0.0000;
;2484.00; 0.521360;2.877012;0.865432;2.011580;5.487212;1.650605;0.767321;0.0000;
;2505.60; 0.520996;2.877438;0.863942;2.013496;5.478530;1.644913;0.766723;0.0000;
;2527.20; 0.522359;2.873690;0.859766;2.013923;5.470706;1.636756;0.766790;0.0000;
;2548.80; 0.522393;2.868902;0.852926;2.015976;5.456535;1.622230;0.766861;0.0000;
;2570.40; 0.522531;2.867854;0.849461;2.018393;5.459949;1.617241;0.768541;0.0000;
;2592.00; 0.522995;2.869306;0.847657;2.021649;5.464536;1.614345;0.770038;0.0000;
;2613.60; 0.522213;2.895703;0.873096;2.022607;5.522696;1.665172;0.771505;0.0000;
;2635.20; 0.522268;2.889586;0.869823;2.019763;5.518568;1.661199;0.771474;0.0000;
;2656.80; 0.522354;2.888350;0.866569;2.021780;5.499135;1.649863;0.769854;0.0000;
;2678.40; 0.521268;2.882306;0.864409;2.017897;5.503526;1.650517;0.770602;0.0000;
;2700.00; 0.522123;2.879683;0.859712;2.019970;5.503187;1.642944;0.772049;0.0000;
;2721.60; 0.523060;2.875527;0.854518;2.021008;5.472559;1.626277;0.769256;0.0000;
;2743.20; 0.523810;2.872583;0.850725;2.021858;5.457122;1.616145;0.768195;0.0000;
;2764.80; 0.523636;2.873309;0.848265;2.025044;5.457110;1.611061;0.769210;0.0000;
;2786.40; 0.523535;2.874659;0.848025;2.026635;5.474365;1.614938;0.771885;0.0000;
;2808.00; 0.523013;2.882305;0.853631;2.028674;5.493476;1.626962;0.773303;0.0000;
;2829.60; 0.521770;2.873201;0.849863;2.023339;5.484549;1.622272;0.772455;0.0000;
;2851.20; 0.521358;2.868116;0.846665;2.021451;5.483734;1.618792;0.772988;0.0000;
;2872.80; 0.521412;2.864424;0.842702;2.021722;5.457030;1.605437;0.770319;0.0000;
;2894.40; 0.521326;2.855565;0.837852;2.017714;5.457480;1.601280;0.771240;0.0000;
;2916.00; 0.521891;2.852085;0.833322;2.018763;5.439412;1.589288;0.770025;0.0000;
;2937.60; 0.521989;2.845577;0.828184;2.017393;5.432109;1.580975;0.770227;0.0000;
;2959.20; 0.521909;2.840989;0.823327;2.017662;5.417520;1.570012;0.769502;0.0000;
;2980.80; 0.522451;2.837544;0.821368;2.016176;5.408346;1.565524;0.768565;0.0000;
;3002.40; 0.522303;2.838038;0.818490;2.019548;5.395136;1.555956;0.767836;0.0000;
;3024.00; 0.522253;2.841815;0.822673;2.019142;5.414137;1.567331;0.769361;0.0000;
;3045.60; 0.521198;2.843053;0.824733;2.018320;5.429584;1.575052;0.770906;0.0000;
;3067.20; 0.521735;2.838084;0.821171;2.016912;5.406689;1.564372;0.768463;0.0000;
;3088.80; 0.522340;2.831964;0.816701;2.015264;5.404143;1.558483;0.769132;0.0000;
;3110.40; 0.522664;2.826885;0.812152;2.014733;5.402166;1.552019;0.770029;0.0000;
;3132.00; 0.523518;2.824753;0.808171;2.016582;5.367371;1.535622;0.766350;0.0000;
;3153.60; 0.523840;2.823299;0.806460;2.016839;5.379584;1.536648;0.768587;0.0000;
;3175.20; 0.523076;2.827144;0.810427;2.016717;5.393713;1.546157;0.769511;0.0000;
;3196.80; 0.523673;2.819749;0.805930;2.013819;5.370743;1.535046;0.767139;0.0000;
;3218.40; 0.523087;2.813556;0.800525;2.013030;5.356765;1.524130;0.766527;0.0000;
;3240.00; 0.523493;2.808010;0.795951;2.012059;5.345444;1.515206;0.766048;0.0000;
;3261.60; 0.522663;2.800172;0.790628;2.009544;5.320673;1.502291;0.763676;0.0000;
;3283.20; 0.523336;2.793228;0.786328;2.006900;5.323619;1.498664;0.764991;0.0000;
;3304.80; 0.522158;2.797025;0.789441;2.007584;5.320021;1.501539;0.763696;0.0000;
;3326.40; 0.521729;2.792708;0.786677;2.006030;5.334120;1.502567;0.766311;0.0000;
;3348.00; 0.521598;2.803265;0.795001;2.008263;5.350658;1.517438;0.766644;0.0000;
;3369.60; 0.522259;2.803123;0.795021;2.008103;5.346150;1.516273;0.765975;0.0000;
;3391.20; 0.523146;2.800887;0.792107;2.008780;5.348106;1.512476;0.767126;0.0000;
;3412.80; 0.522382;2.801470;0.792325;2.009145;5.346985;1.512260;0.766945;0.0000;
;3434.40; 0.523131;2.800731;0.790281;2.010450;5.338815;1.506451;0.766473;0.0000;
;3456.00; 0.522890;2.793843;0.785922;2.007922;5.328650;1.498975;0.765935;0.0000;
;3477.60; 0.522771;2.794767;0.785767;2.009000;5.325082;1.497182;0.765580;0.0000;
;3499.20; 0.522611;2.786797;0.781046;2.005752;5.318481;1.490592;0.765578;0.0000;
;3520.80; 0.523643;2.783471;0.777793;2.005679;5.294591;1.479481;0.763022;0.0000;
;3542.40; 0.523627;2.781302;0.775658;2.005644;5.284193;1.473672;0.762104;0.0000;
;3564.00; 0.524635;2.777606;0.772464;2.005142;5.275694;1.467193;0.761700;0.0000;
;3585.60; 0.524721;2.772221;0.768171;2.004050;5.254441;1.455985;0.759691;0.0000;
;3607.20; 0.525370;2.769865;0.765031;2.004834;5.255336;1.451512;0.760765;0.0000;
;3628.80; 0.524891;2.770721;0.767133;2.003588;5.257059;1.455529;0.760306;0.0000;
;3650.40; 0.525433;2.766373;0.763928;2.002445;5.258413;1.452099;0.761263;0.0000;
;3672.00; 0.525684;2.766059;0.761425;2.004634;5.241170;1.442759;0.759682;0.0000;
;3693.60; 0.525836;2.766203;0.761461;2.004742;5.242830;1.443209;0.759924;0.0000;
;3715.20; 0.525933;2.761120;0.757512;2.003607;5.233709;1.435866;0.759568;0.0000;
