Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;3542.40; 0.522693;2.685491;0.704462;1.981029;5.125899;1.344633;0.756253;0.0000;
;3564.00; 0.522640;2.681571;0.703452;1.978119;5.122006;1.343647;0.755672;0.0000;
;3585.60; 0.522728;2.678768;0.700457;1.978310;5.109980;1.336183;0.754759;0.0000;
;3607.20; 0.523079;2.677891;0.699650;1.978241;5.103876;1.333485;0.754078;0.0000;
;3628.80; 0.522942;2.680086;0.699671;1.980415;5.100401;1.331526;0.753775;0.0000;
;3650.40; 0.523229;2.675021;0.696427;1.978594;5.098416;1.327345;0.754214;0.0000;
;3672.00; 0.523150;2.675514;0.695305;1.980209;5.104143;1.326450;0.755539;0.0000;
;3693.60; 0.523228;2.676629;0.696794;1.979835;5.105772;1.329161;0.755322;0.0000;
;3715.20; 0.523480;2.676984;0.695601;1.981384;5.100026;1.325216;0.754962;0.0000;
;3736.80; 0.523624;2.674275;0.692617;1.981658;5.090786;1.318474;0.754462;0.0000;
;3758.40; 0.523887;2.669498;0.689546;1.979953;5.086875;1.313967;0.754582;0.0000;
;3780.00; 0.523928;2.672590;0.691786;1.980804;5.083017;1.315713;0.753461;0.0000;
;3801.60; 0.523928;2.669159;0.688228;1.980931;5.073009;1.308048;0.752992;0.0000;
;3823.20; 0.524412;2.664019;0.685556;1.978463;5.071359;1.305059;0.753260;0.0000;
;3844.80; 0.525169;2.662550;0.683105;1.979445;5.052548;1.296284;0.751253;0.0000;
;3866.40; 0.524966;2.659471;0.680533;1.978938;5.054311;1.293350;0.752192;0.0000;
;3888.00; 0.525258;2.655310;0.677946;1.977363;5.041307;1.287133;0.750835;0.0000;
;3909.60; 0.525201;2.657434;0.678269;1.979165;5.045610;1.287814;0.751559;0.0000;
;3931.20; 0.525353;2.655280;0.675810;1.979470;5.039886;1.282729;0.751431;0.0000;
;3952.80; 0.525689;2.655519;0.673709;1.981811;5.041635;1.279070;0.752513;0.0000;
;3974.40; 0.525660;2.657405;0.673157;1.984248;5.046759;1.278413;0.753669;0.0000;
;3996.00; 0.525692;2.650083;0.669821;1.980262;5.025461;1.270209;0.751050;0.0000;
;4017.60; 0.525331;2.649863;0.668728;1.981134;5.020995;1.267115;0.750776;0.0000;
;4039.20; 0.525341;2.646411;0.665763;1.980648;5.023689;1.263820;0.751974;0.0000;
;4060.80; 0.524544;2.647328;0.668289;1.979038;5.026143;1.268796;0.751469;0.0000;
;4082.40; 0.525435;2.648320;0.667694;1.980626;5.025473;1.267021;0.751691;0.0000;
;4104.00; 0.524879;2.645608;0.665449;1.980159;5.023687;1.263606;0.752016;0.0000;
;4125.60; 0.525034;2.645213;0.665055;1.980158;5.022951;1.262862;0.752018;0.0000;
;4147.20; 0.524647;2.639416;0.661632;1.977784;5.013251;1.256690;0.751312;0.0000;
;4168.80; 0.525113;2.638970;0.659246;1.979724;5.011636;1.251967;0.751934;0.0000;
;4190.40; 0.525579;2.636313;0.657545;1.978769;5.004700;1.248263;0.751287;0.0000;
;4212.00; 0.524779;2.644556;0.664996;1.979560;5.023299;1.263151;0.752030;0.0000;
;4233.60; 0.523938;2.653804;0.673819;1.979984;5.049324;1.282059;0.753453;0.0000;
;4255.20; 0.523971;2.650470;0.671676;1.978794;5.040294;1.277300;0.752599;0.0000;
;4276.80; 0.524215;2.649117;0.669449;1.979668;5.030198;1.271163;0.751807;0.0000;
;4298.40; 0.524417;2.644495;0.666612;1.977883;5.021994;1.265920;0.751215;0.0000;
;4320.00; 0.523963;2.647433;0.669532;1.977902;5.021324;1.269885;0.750288;0.0000;
;4341.60; 0.523812;2.642809;0.666479;1.976330;5.029977;1.268489;0.752297;0.0000;
;4363.20; 0.524213;2.642826;0.664952;1.977874;5.008655;1.260209;0.749689;0.0000;
;4384.80; 0.523788;2.638087;0.661753;1.976334;5.026261;1.260817;0.753089;0.0000;
;4406.40; 0.523654;2.631356;0.658414;1.972942;5.012780;1.254290;0.751698;0.0000;
;4428.00; 0.524014;2.626890;0.655947;1.970942;4.994123;1.247057;0.749413;0.0000;
;4449.60; 0.523469;2.625439;0.654485;1.970955;4.994248;1.244995;0.749851;0.0000;
;4471.20; 0.523432;2.624835;0.653303;1.971532;4.996576;1.243613;0.750593;0.0000;
;4492.80; 0.523340;2.622792;0.651807;1.970985;5.000892;1.242803;0.751618;0.0000;
;4514.40; 0.523746;2.624093;0.650659;1.973434;4.991734;1.237729;0.750801;0.0000;
;4536.00; 0.523572;2.619233;0.648152;1.971081;4.987011;1.234079;0.750587;0.0000;
;4557.60; 0.523487;2.615303;0.644995;1.970307;4.984253;1.229235;0.751004;0.0000;
;4579.20; 0.523768;2.615555;0.643926;1.971629;4.982398;1.226621;0.751155;0.0000;
;4600.80; 0.523691;2.610139;0.640928;1.969212;4.975258;1.221690;0.750714;0.0000;
;4622.40; 0.523504;2.605723;0.639125;1.966598;4.968103;1.218563;0.749908;0.0000;
;4644.00; 0.523079;2.601719;0.636663;1.965056;4.956349;1.212861;0.748698;0.0000;
;4665.60; 0.522519;2.613600;0.645871;1.967729;4.987133;1.232416;0.750943;0.0000;
;4687.20; 0.522470;2.613055;0.647059;1.965997;4.992894;1.236367;0.751306;0.0000;
;4708.80; 0.521429;2.631248;0.662686;1.968562;5.029154;1.266604;0.752510;0.0000;
;4730.40; 0.521487;2.661150;0.692434;1.968716;5.088973;1.324156;0.752963;0.0000;
;4752.00; 0.521262;2.683033;0.713883;1.969150;5.136799;1.366764;0.754007;0.0000;
;4773.60; 0.521647;2.681664;0.711826;1.969838;5.122773;1.359798;0.752595;0.0000;
;4795.20; 0.521529;2.688022;0.716195;1.971827;5.140513;1.369635;0.754176;0.0000;
;4816.80; 0.521237;2.689138;0.716401;1.972737;5.147704;1.371376;0.755265;0.0000;
;4838.40; 0.521075;2.689070;0.717133;1.971938;5.148136;1.372927;0.755042;0.0000;
;4860.00; 0.520503;2.685640;0.713831;1.971808;5.143611;1.367149;0.755292;0.0000;
;4881.60; 0.520860;2.683238;0.712728;1.970510;5.140165;1.365343;0.754964;0.0000;
;4903.20; 0.521008;2.680083;0.709971;1.970112;5.136946;1.360810;0.755227;0.0000;
;4924.80; 0.520749;2.676023;0.707071;1.968952;5.116645;1.351943;0.752940;0.0000;
;4946.40; 0.520853;2.677961;0.706593;1.971368;5.124539;1.352134;0.754481;0.0000;
;4968.00; 0.521241;2.676188;0.704419;1.971769;5.129069;1.350060;0.755802;0.0000;
;4989.60; 0.521434;2.675106;0.702851;1.972255;5.115177;1.343949;0.754246;0.0000;
;5011.20; 0.521643;2.671133;0.700491;1.970642;5.107614;1.339446;0.753634;0.0000;
;5032.80; 0.521674;2.668149;0.698631;1.969518;5.099827;1.335344;0.752897;0.0000;
;5054.40; 0.521550;2.668888;0.698964;1.969924;5.101340;1.336006;0.753067;0.0000;
;5076.00; 0.521625;2.667911;0.697291;1.970621;5.105291;1.334329;0.754192;0.0000;
;5097.60; 0.521607;2.665018;0.694751;1.970267;5.081215;1.324637;0.751316;0.0000;
;5119.20; 0.521236;2.665975;0.694547;1.971428;5.100456;1.328784;0.754334;0.0000;
;5140.80; 0.521109;2.664991;0.693280;1.971711;5.099767;1.326671;0.754619;0.0000;
;5162.40; 0.521206;2.667500;0.694473;1.973027;5.108061;1.329863;0.755640;0.0000;
;5184.00; 0.521571;2.665821;0.692527;1.973295;5.103926;1.325897;0.755606;0.0000;
;5205.60; 0.521749;2.662629;0.690285;1.972343;5.090209;1.319635;0.754115;0.0000;
;5227.20; 0.522005;2.660272;0.687846;1.972426;5.084980;1.314784;0.754039;0.0000;
;5248.80; 0.522263;2.657565;0.685819;1.971745;5.069819;1.308333;0.752297;0.0000;
;5270.40; 0.522643;2.655430;0.683658;1.971772;5.072638;1.305985;0.753331;0.0000;
;5292.00; 0.522600;2.656406;0.684125;1.972280;5.071448;1.306090;0.753072;0.0000;
;5313.60; 0.522867;2.656203;0.683050;1.973153;5.066902;1.302968;0.752787;0.0000;
;5335.20; 0.523302;2.653930;0.681181;1.972748;5.065947;1.300271;0.753135;0.0000;
;5356.80; 0.523164;2.650834;0.678577;1.972256;5.051208;1.293040;0.751634;0.0000;
;5378.40; 0.522952;2.647591;0.676255;1.971336;5.049987;1.289881;0.752021;0.0000;
;5400.00; 0.523127;2.645339;0.674815;1.970524;5.046505;1.287342;0.751833;0.0000;
;5421.60; 0.523492;2.644087;0.673010;1.971077;5.038382;1.282440;0.751188;0.0000;
;5443.20; 0.523746;2.643282;0.670819;1.972463;5.035932;1.278032;0.751580;0.0000;
;5464.80; 0.524036;2.643942;0.672050;1.971892;5.037170;1.280372;0.751360;0.0000;
;5486.40; 0.524916;2.643389;0.670896;1.972493;5.034140;1.277673;0.751293;0.0000;
;5508.00; 0.524408;2.640026;0.668384;1.971642;5.023330;1.271773;0.750311;0.0000;
;5529.60; 0.524629;2.639595;0.667850;1.971745;5.026624;1.271797;0.750965;0.0000;
